estimator,function,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,n_iter,mean,stdev,throughput,latency,algorithm,n_jobs,n_neighbors,accuracy_score
KNeighborsClassifier,fit,1000000,1000000,100,b79d63bb7670c492de5c3befac58fe29,964dc780f08981ab8f879d1a097b8712,,0.5805275119996622,0.0,1.3780569972374805,5.805275119996622e-07,brute,1,1,
KNeighborsClassifier,predict,1000000,1000,100,b79d63bb7670c492de5c3befac58fe29,964dc780f08981ab8f879d1a097b8712,,4.5780340742999215,0.05592127538711719,0.00017474749794699527,0.004578034074299921,brute,1,1,0.719
KNeighborsClassifier,predict,1000000,1,100,b79d63bb7670c492de5c3befac58fe29,964dc780f08981ab8f879d1a097b8712,,0.10521024599988778,0.0037910254897246835,7.603822160066552e-06,0.10521024599988778,brute,1,1,1.0
KNeighborsClassifier,fit,1000000,1000000,100,efac583623711d395ddae7a1e881ff68,964dc780f08981ab8f879d1a097b8712,,0.5486958430001323,0.0,1.4580026625056957,5.486958430001323e-07,brute,1,5,
KNeighborsClassifier,predict,1000000,1000,100,efac583623711d395ddae7a1e881ff68,964dc780f08981ab8f879d1a097b8712,,4.563177615800032,0.044469317975118286,0.0001753164280149856,0.0045631776158000315,brute,1,5,0.835
KNeighborsClassifier,predict,1000000,1,100,efac583623711d395ddae7a1e881ff68,964dc780f08981ab8f879d1a097b8712,,0.10850896609999836,0.002014852566525547,7.3726626356640965e-06,0.10850896609999836,brute,1,5,1.0
KNeighborsClassifier,fit,1000000,1000000,100,2d5f2b2c02d77766434d9e5033b4a76c,964dc780f08981ab8f879d1a097b8712,,0.5582335900003272,0.0,1.433091835264752,5.582335900003273e-07,brute,-1,100,
KNeighborsClassifier,predict,1000000,1000,100,2d5f2b2c02d77766434d9e5033b4a76c,964dc780f08981ab8f879d1a097b8712,,4.64840430900008,0.03738813988775966,0.00017210206918771408,0.00464840430900008,brute,-1,100,0.94
KNeighborsClassifier,predict,1000000,1,100,2d5f2b2c02d77766434d9e5033b4a76c,964dc780f08981ab8f879d1a097b8712,,0.10393027240002084,0.0026687623341080965,7.6974685192862e-06,0.10393027240002084,brute,-1,100,1.0
KNeighborsClassifier,fit,1000000,1000000,100,e70d8e7886766d41f30889506baa1e67,964dc780f08981ab8f879d1a097b8712,,0.5580568720001793,0.0,1.4335456476553219,5.580568720001793e-07,brute,-1,1,
KNeighborsClassifier,predict,1000000,1000,100,e70d8e7886766d41f30889506baa1e67,964dc780f08981ab8f879d1a097b8712,,4.520803940400083,0.028818791963266584,0.0001769596758777381,0.004520803940400083,brute,-1,1,0.719
KNeighborsClassifier,predict,1000000,1,100,e70d8e7886766d41f30889506baa1e67,964dc780f08981ab8f879d1a097b8712,,0.1100490181999703,0.008452744671694606,7.269487843556389e-06,0.1100490181999703,brute,-1,1,1.0
KNeighborsClassifier,fit,1000000,1000000,100,16f94fc93942ff7ece860c9b0f64645f,964dc780f08981ab8f879d1a097b8712,,0.5542590690001816,0.0,1.4433683537972706,5.542590690001816e-07,brute,1,100,
KNeighborsClassifier,predict,1000000,1000,100,16f94fc93942ff7ece860c9b0f64645f,964dc780f08981ab8f879d1a097b8712,,4.659534908999921,0.07547951822541046,0.00017169095534723752,0.004659534908999921,brute,1,100,0.94
KNeighborsClassifier,predict,1000000,1,100,16f94fc93942ff7ece860c9b0f64645f,964dc780f08981ab8f879d1a097b8712,,0.10512735309998789,0.003070440315811675,7.609817772536425e-06,0.10512735309998789,brute,1,100,1.0
KNeighborsClassifier,fit,1000000,1000000,100,22d5eac4a4146149b35eae6914921514,964dc780f08981ab8f879d1a097b8712,,0.5472589119999611,0.0,1.4618309221797685,5.472589119999611e-07,brute,-1,5,
KNeighborsClassifier,predict,1000000,1000,100,22d5eac4a4146149b35eae6914921514,964dc780f08981ab8f879d1a097b8712,,4.557314493800004,0.04330887001732265,0.00017554197786621037,0.004557314493800004,brute,-1,5,0.835
KNeighborsClassifier,predict,1000000,1,100,22d5eac4a4146149b35eae6914921514,964dc780f08981ab8f879d1a097b8712,,0.1136031276999347,0.01064229586353822,7.042059635127984e-06,0.1136031276999347,brute,-1,5,1.0
KNeighborsClassifier,fit,1000000,1000000,2,b79d63bb7670c492de5c3befac58fe29,4ce588ed31896f6cfe33968c228fa691,,0.10261319299979732,0.0,0.15592536916799385,1.0261319299979733e-07,brute,1,1,
KNeighborsClassifier,predict,1000000,1000,2,b79d63bb7670c492de5c3befac58fe29,4ce588ed31896f6cfe33968c228fa691,,1.0389949539000098,0.038564412315600205,1.5399497312226406e-05,0.0010389949539000099,brute,1,1,0.982
KNeighborsClassifier,predict,1000000,1,2,b79d63bb7670c492de5c3befac58fe29,4ce588ed31896f6cfe33968c228fa691,,0.00508142419998876,0.0005307728303107814,3.148723540938659e-06,0.00508142419998876,brute,1,1,1.0
KNeighborsClassifier,fit,1000000,1000000,2,efac583623711d395ddae7a1e881ff68,4ce588ed31896f6cfe33968c228fa691,,0.10412919999998849,0.0,0.1536552667263531,1.0412919999998849e-07,brute,1,5,
KNeighborsClassifier,predict,1000000,1000,2,efac583623711d395ddae7a1e881ff68,4ce588ed31896f6cfe33968c228fa691,,1.1325712810998994,0.05188185452055072,1.412714613817645e-05,0.0011325712810998994,brute,1,5,0.986
KNeighborsClassifier,predict,1000000,1,2,efac583623711d395ddae7a1e881ff68,4ce588ed31896f6cfe33968c228fa691,,0.005133124599979055,0.0008822904409196516,3.117009861803332e-06,0.005133124599979055,brute,1,5,1.0
