estimator,library,function,n_samples_train,n_samples,n_features,parameters_digest,dataset_digest,mean_duration,std_duration,n_iter,iteration_throughput,latency,early_stopping,learning_rate,max_bins,max_iter,max_leaf_nodes,min_samples_leaf,n_iter_no_change,accuracy_score
HistGradientBoostingClassifier,onnx,predict,100000,1000,100,8ac17432ce41344558041f9f99d580cd,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.01456598100003248,0.0,10,0.05492249372000527,1.4565981000032479e-05,False,0.05,64,10,100,2,10,0.775
HistGradientBoostingClassifier,onnx,predict,100000,1000,100,7ffcea6243d635c596c7379f67135cd7,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.15631223899981705,0.0,300,0.005117961364502855,0.00015631223899981707,False,0.01,64,300,30,200,10,0.77
HistGradientBoostingClassifier,onnx,predict,100000,1000,100,1084a98c82c15e25c60b34fdd49148c9,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.007618495000315306,0.0,30,0.10500761632932626,7.618495000315306e-06,False,0.5,255,30,10,200,10,0.744
HistGradientBoostingClassifier,onnx,predict,100000,1000,100,f17506c7a56db0766f1358ddef0a5f1b,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.004788960000041698,0.0,30,0.16705088369772025,4.788960000041698e-06,False,0.01,128,30,3,100,10,0.573
HistGradientBoostingClassifier,onnx,predict,100000,1000,100,1093ca18aaf7c08c5f1501a9c93ac93c,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.009657719999722758,0.0,100,0.08283528617758285,9.657719999722758e-06,False,0.1,128,100,3,20,10,0.673
HistGradientBoostingClassifier,onnx,predict,100000,1000,100,00b59af08b90cb82ead8976d3222184d,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.13626808899971365,0.0,300,0.005870780208869599,0.00013626808899971365,False,0.1,32,300,30,10,10,0.795
HistGradientBoostingClassifier,onnx,predict,100000,1000,100,18b43b71e8e6578689b1143e24a89c24,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.00845310500017149,0.0,30,0.09463978029183007,8.453105000171491e-06,False,0.01,128,30,10,10,10,0.649
HistGradientBoostingClassifier,onnx,predict,100000,1000,100,ef2f12d0c8952977ea0d887681fb2a1a,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.002970637000089482,0.0,10,0.26930250985761717,2.970637000089482e-06,False,0.05,128,10,3,20,10,0.571
HistGradientBoostingClassifier,onnx,predict,100000,1000,100,da4af9632d9be097615e658f56f60787,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.004693758000030357,0.0,30,0.17043912361796792,4.693758000030357e-06,False,0.05,64,30,3,20,10,0.6
HistGradientBoostingClassifier,onnx,predict,100000,1000,100,a42d64fc954f936fac0eab36004c8e6d,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.01470478200008074,0.0,10,0.05440407072988959,1.470478200008074e-05,False,0.05,255,10,100,10,10,0.768
HistGradientBoostingClassifier,onnx,predict,100000,1000,100,f2b1a3064fcf73e7b81abf5d085187b9,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.0047432589999516495,0.0,30,0.16866040838338256,4.743258999951649e-06,False,0.05,255,30,3,100,10,0.602
HistGradientBoostingClassifier,onnx,predict,100000,1000,100,bb2149bcaf628fe246acc7f5b496358b,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.014678482000363147,0.0,10,0.05450154859202797,1.4678482000363146e-05,False,0.01,32,10,100,10,10,0.761
HistGradientBoostingClassifier,onnx,predict,100000,1000,100,12c9be3d2f7702d7b72c910b803cc41c,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.13720419699984632,0.0,300,0.005830725425993318,0.00013720419699984632,False,0.1,128,300,30,200,10,0.788
HistGradientBoostingClassifier,onnx,predict,100000,1000,100,5ff324defaecd8cfe9d25bfc86e57316,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.0026505330001782568,0.0,10,0.3018260855255141,2.650533000178257e-06,False,1.0,64,10,3,10,10,0.585
HistGradientBoostingClassifier,onnx,predict,100000,1000,100,3924f1129dfa7aece6c89c30baba2dba,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.05480757799978164,0.0,300,0.01459652167083879,5.480757799978164e-05,False,0.05,32,300,10,10,10,0.755
HistGradientBoostingClassifier,onnx,predict,100000,1000,100,90dd6f00996f798bf853c340b26e8b6f,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.011484346000543155,0.0,300,0.0696600398457312,1.1484346000543155e-05,False,1.0,32,300,3,200,10,0.305
HistGradientBoostingClassifier,onnx,predict,100000,1000,100,8ee188edac34702d1d6547e743dfdcbd,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.04735359799997241,0.0,100,0.01689417560204118,4.735359799997241e-05,False,0.05,255,100,30,20,10,0.779
HistGradientBoostingClassifier,onnx,predict,100000,1000,100,72be35414cec671cf1f28762068ecfd3,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.00828140399971744,0.0,30,0.09660197715596243,8.281403999717441e-06,False,0.1,128,30,10,200,10,0.697
HistGradientBoostingClassifier,onnx,predict,100000,1000,100,b4b4abc2656137d6902effeaaab88960,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.016308203999869875,0.0,30,0.049055064555629996,1.6308203999869874e-05,False,0.01,32,30,30,200,10,0.713
HistGradientBoostingClassifier,onnx,predict,100000,1000,100,305b981fb1aaba486af663885dff1b81,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.022503680000227178,0.0,300,0.0355497411975252,2.250368000022718e-05,False,1.0,64,300,10,2,10,0.392
HistGradientBoostingClassifier,onnx,predict,100000,1000,100,f1e4680000b121431c0f812b5859724c,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.04117851199953293,0.0,30,0.019427608263481545,4.117851199953293e-05,False,0.01,128,30,100,2,10,0.757
