estimator,library,function,n_samples_train,n_samples,n_features,parameters_digest,dataset_digest,mean_duration,std_duration,n_iter,iteration_throughput,latency,algorithm,n_jobs,n_neighbors,accuracy_score
KNeighborsClassifier_brute_force,onnx,predict,100000,1000,100,e70d8e7886766d41f30889506baa1e67,da85712d6d04fd9c5c4ddb12db3be446,16.932570679500003,0.0063694294999834256,,4.724622239247744e-05,0.016932570679500002,brute,-1,1,0.676
KNeighborsClassifier_brute_force,onnx,predict,100000,1,100,e70d8e7886766d41f30889506baa1e67,da85712d6d04fd9c5c4ddb12db3be446,0.3025096567999924,0.0045561107578698705,,2.64454367659717e-06,0.3025096567999924,brute,-1,1,0.0
KNeighborsClassifier_brute_force,onnx,predict,100000,1000,100,22d5eac4a4146149b35eae6914921514,da85712d6d04fd9c5c4ddb12db3be446,17.064798932500025,0.023673206500006927,,4.688013044656475e-05,0.017064798932500024,brute,-1,5,0.743
KNeighborsClassifier_brute_force,onnx,predict,100000,1,100,22d5eac4a4146149b35eae6914921514,da85712d6d04fd9c5c4ddb12db3be446,0.3027471761999948,0.00608521105240933,,2.6424689076918752e-06,0.3027471761999948,brute,-1,5,1.0
KNeighborsClassifier_brute_force,onnx,predict,100000,1000,100,16f94fc93942ff7ece860c9b0f64645f,da85712d6d04fd9c5c4ddb12db3be446,16.8688157995,0.025663762500016674,,4.742478722328052e-05,0.0168688157995,brute,1,100,0.846
KNeighborsClassifier_brute_force,onnx,predict,100000,1,100,16f94fc93942ff7ece860c9b0f64645f,da85712d6d04fd9c5c4ddb12db3be446,0.30834609360000514,0.005008311441617898,,2.5944872226524186e-06,0.30834609360000514,brute,1,100,1.0
KNeighborsClassifier_brute_force,onnx,predict,100000,1000,100,2d5f2b2c02d77766434d9e5033b4a76c,da85712d6d04fd9c5c4ddb12db3be446,17.044160047000048,0.02527395199996363,,4.693689790485208e-05,0.01704416004700005,brute,-1,100,0.846
KNeighborsClassifier_brute_force,onnx,predict,100000,1,100,2d5f2b2c02d77766434d9e5033b4a76c,da85712d6d04fd9c5c4ddb12db3be446,0.3078829023999788,0.007012606753997311,,2.5983904717147914e-06,0.3078829023999788,brute,-1,100,1.0
KNeighborsClassifier_brute_force,onnx,predict,100000,1000,100,efac583623711d395ddae7a1e881ff68,da85712d6d04fd9c5c4ddb12db3be446,17.20104036150002,0.022646951500007617,,4.650881476858739e-05,0.01720104036150002,brute,1,5,0.743
KNeighborsClassifier_brute_force,onnx,predict,100000,1,100,efac583623711d395ddae7a1e881ff68,da85712d6d04fd9c5c4ddb12db3be446,0.30542748120001306,0.00910139888607794,,2.6192796956476547e-06,0.30542748120001306,brute,1,5,1.0
KNeighborsClassifier_brute_force,onnx,predict,100000,1000,100,b79d63bb7670c492de5c3befac58fe29,da85712d6d04fd9c5c4ddb12db3be446,17.242309263500033,0.009777639500043733,,4.639749744504973e-05,0.01724230926350003,brute,1,1,0.676
KNeighborsClassifier_brute_force,onnx,predict,100000,1,100,b79d63bb7670c492de5c3befac58fe29,da85712d6d04fd9c5c4ddb12db3be446,0.30442761699999893,0.00788028535054132,,2.627882476247228e-06,0.30442761699999893,brute,1,1,0.0
KNeighborsClassifier_brute_force,onnx,predict,100000,1000,2,e70d8e7886766d41f30889506baa1e67,df4ee97ec3fb44546f53e3d9b36158c1,3.7518608287500257,0.00821107250007331,,4.264550507149429e-06,0.0037518608287500257,brute,-1,1,0.845
KNeighborsClassifier_brute_force,onnx,predict,100000,1,2,e70d8e7886766d41f30889506baa1e67,df4ee97ec3fb44546f53e3d9b36158c1,0.23899043159999564,0.004404425139079666,,6.694828697903524e-08,0.23899043159999564,brute,-1,1,1.0
KNeighborsClassifier_brute_force,onnx,predict,100000,1000,2,22d5eac4a4146149b35eae6914921514,df4ee97ec3fb44546f53e3d9b36158c1,3.7120321561111242,0.013773784167847246,,4.310307488489607e-06,0.003712032156111124,brute,-1,5,0.883
KNeighborsClassifier_brute_force,onnx,predict,100000,1,2,22d5eac4a4146149b35eae6914921514,df4ee97ec3fb44546f53e3d9b36158c1,0.23804486389997237,0.004854071922547219,,6.721422062155174e-08,0.23804486389997237,brute,-1,5,1.0
KNeighborsClassifier_brute_force,onnx,predict,100000,1000,2,16f94fc93942ff7ece860c9b0f64645f,df4ee97ec3fb44546f53e3d9b36158c1,3.7579859546250134,0.02043698977267581,,4.2575997337905285e-06,0.0037579859546250133,brute,1,100,0.887
KNeighborsClassifier_brute_force,onnx,predict,100000,1,2,16f94fc93942ff7ece860c9b0f64645f,df4ee97ec3fb44546f53e3d9b36158c1,0.23897136199998387,0.004115992856890802,,6.695362936417913e-08,0.23897136199998387,brute,1,100,1.0
KNeighborsClassifier_brute_force,onnx,predict,100000,1000,2,2d5f2b2c02d77766434d9e5033b4a76c,df4ee97ec3fb44546f53e3d9b36158c1,3.746289295666669,0.008930109931676661,,4.270892805450768e-06,0.003746289295666669,brute,-1,100,0.887
KNeighborsClassifier_brute_force,onnx,predict,100000,1,2,2d5f2b2c02d77766434d9e5033b4a76c,df4ee97ec3fb44546f53e3d9b36158c1,0.23954911160000164,0.0050951261920457675,,6.679214918866721e-08,0.23954911160000164,brute,-1,100,1.0
