estimator,library,function,n_samples_train,n_samples,n_features,parameters_digest,dataset_digest,mean_duration,std_duration,n_iter,iteration_throughput,latency,algorithm,n_jobs,n_neighbors,accuracy_score
KNeighborsClassifier_kd_tree,onnx,predict,1000000,1000,10,84622ba45e941db642965553529e1941,2ea138335d6fcb1767ca424f57f5ed07,121.48106713099992,0.0,,6.585388315179309e-07,0.12148106713099992,kd_tree,1,5,0.975
KNeighborsClassifier_kd_tree,onnx,predict,1000000,1,10,84622ba45e941db642965553529e1941,2ea138335d6fcb1767ca424f57f5ed07,2.567553797800019,0.04526433324515858,,3.1158061836346776e-08,2.567553797800019,kd_tree,1,5,1.0
KNeighborsClassifier_kd_tree,onnx,predict,1000000,1000,10,dc74b969bf622bc24ba3bc62c980983b,2ea138335d6fcb1767ca424f57f5ed07,121.31719760200008,0.0,,6.594283546051931e-07,0.12131719760200008,kd_tree,-1,5,0.975
KNeighborsClassifier_kd_tree,onnx,predict,1000000,1,10,dc74b969bf622bc24ba3bc62c980983b,2ea138335d6fcb1767ca424f57f5ed07,2.5934169790999704,0.023114736775216943,,3.084733409425102e-08,2.5934169790999704,kd_tree,-1,5,1.0
KNeighborsClassifier_kd_tree,onnx,predict,1000000,1000,10,fe8267e25dadb302ed498e50fabf7ef4,2ea138335d6fcb1767ca424f57f5ed07,123.47497318800015,0.0,,6.479045747853199e-07,0.12347497318800014,kd_tree,-1,1,0.964
KNeighborsClassifier_kd_tree,onnx,predict,1000000,1,10,fe8267e25dadb302ed498e50fabf7ef4,2ea138335d6fcb1767ca424f57f5ed07,2.56700831080002,0.07040608119512207,,3.116468289698198e-08,2.56700831080002,kd_tree,-1,1,1.0
KNeighborsClassifier_kd_tree,onnx,predict,1000000,1000,10,a9455565db1d8e052a783317c99744ff,2ea138335d6fcb1767ca424f57f5ed07,129.77487220800003,0.0,,6.164521577935205e-07,0.12977487220800005,kd_tree,1,1,0.964
KNeighborsClassifier_kd_tree,onnx,predict,1000000,1,10,a9455565db1d8e052a783317c99744ff,2ea138335d6fcb1767ca424f57f5ed07,2.5868410038000094,0.04443129135815157,,3.092575070616318e-08,2.5868410038000094,kd_tree,1,1,1.0
KNeighborsClassifier_kd_tree,onnx,predict,1000000,1000,10,41accfcdcd5c50784bedf6164b63de99,2ea138335d6fcb1767ca424f57f5ed07,134.70100519599964,0.0,,5.939079658952378e-07,0.13470100519599965,kd_tree,1,100,0.973
KNeighborsClassifier_kd_tree,onnx,predict,1000000,1,10,41accfcdcd5c50784bedf6164b63de99,2ea138335d6fcb1767ca424f57f5ed07,2.601527050100003,0.10246563593736209,,3.07511697781212e-08,2.601527050100003,kd_tree,1,100,1.0
KNeighborsClassifier_kd_tree,onnx,predict,1000000,1000,10,022f7445d43bb1dbc24dc3106c03cb93,2ea138335d6fcb1767ca424f57f5ed07,127.0121239629998,0.0,,6.298611306059647e-07,0.1270121239629998,kd_tree,-1,100,0.973
KNeighborsClassifier_kd_tree,onnx,predict,1000000,1,10,022f7445d43bb1dbc24dc3106c03cb93,2ea138335d6fcb1767ca424f57f5ed07,2.573782198299978,0.04184414525110594,,3.108266117188984e-08,2.573782198299978,kd_tree,-1,100,1.0
KNeighborsClassifier_kd_tree,onnx,predict,1000,1000,2,84622ba45e941db642965553529e1941,e07b6cf59f4e5d866f64bd3a6e7aa097,0.038826093099987705,0.00029071299132927517,,0.00041209399974382347,3.8826093099987704e-05,kd_tree,1,5,0.923
KNeighborsClassifier_kd_tree,onnx,predict,1000,1,2,84622ba45e941db642965553529e1941,e07b6cf59f4e5d866f64bd3a6e7aa097,0.005117101199948593,0.00023842885691968327,,3.1267702894288545e-06,0.005117101199948593,kd_tree,1,5,1.0
KNeighborsClassifier_kd_tree,onnx,predict,1000,1000,2,dc74b969bf622bc24ba3bc62c980983b,e07b6cf59f4e5d866f64bd3a6e7aa097,0.038778332799984126,0.0005023936545358195,,0.0004126015443347412,3.8778332799984125e-05,kd_tree,-1,5,0.923
KNeighborsClassifier_kd_tree,onnx,predict,1000,1,2,dc74b969bf622bc24ba3bc62c980983b,e07b6cf59f4e5d866f64bd3a6e7aa097,0.005166992099975687,0.00030000921966043514,,3.0965791490324297e-06,0.005166992099975687,kd_tree,-1,5,1.0
KNeighborsClassifier_kd_tree,onnx,predict,1000,1000,2,fe8267e25dadb302ed498e50fabf7ef4,e07b6cf59f4e5d866f64bd3a6e7aa097,0.038396092299899466,0.00047042242244460893,,0.0004167090722417576,3.8396092299899463e-05,kd_tree,-1,1,0.895
KNeighborsClassifier_kd_tree,onnx,predict,1000,1,2,fe8267e25dadb302ed498e50fabf7ef4,e07b6cf59f4e5d866f64bd3a6e7aa097,0.00511784160003117,0.0002097351191260342,,3.1263179383868684e-06,0.00511784160003117,kd_tree,-1,1,1.0
KNeighborsClassifier_kd_tree,onnx,predict,1000,1000,2,a9455565db1d8e052a783317c99744ff,e07b6cf59f4e5d866f64bd3a6e7aa097,0.03848278309992566,0.0004313290251276873,,0.0004157703448436636,3.848278309992566e-05,kd_tree,1,1,0.895
KNeighborsClassifier_kd_tree,onnx,predict,1000,1,2,a9455565db1d8e052a783317c99744ff,e07b6cf59f4e5d866f64bd3a6e7aa097,0.0051814521999858695,0.0003001716154728899,,3.0879373933129466e-06,0.0051814521999858695,kd_tree,1,1,1.0
KNeighborsClassifier_kd_tree,onnx,predict,1000,1000,2,41accfcdcd5c50784bedf6164b63de99,e07b6cf59f4e5d866f64bd3a6e7aa097,0.05970485570001074,0.00017802563390700293,,0.0002679849036130762,5.970485570001074e-05,kd_tree,1,100,0.919
KNeighborsClassifier_kd_tree,onnx,predict,1000,1,2,41accfcdcd5c50784bedf6164b63de99,e07b6cf59f4e5d866f64bd3a6e7aa097,0.005184072200017908,0.00019857479309145083,,3.086376767658585e-06,0.005184072200017908,kd_tree,1,100,1.0
KNeighborsClassifier_kd_tree,onnx,predict,1000,1000,2,022f7445d43bb1dbc24dc3106c03cb93,e07b6cf59f4e5d866f64bd3a6e7aa097,0.06041407149991755,0.00031411805961275186,,0.0002648389622278948,6.041407149991755e-05,kd_tree,-1,100,0.919
KNeighborsClassifier_kd_tree,onnx,predict,1000,1,2,022f7445d43bb1dbc24dc3106c03cb93,e07b6cf59f4e5d866f64bd3a6e7aa097,0.005138171099997635,0.0001824609634482876,,3.1139484631034114e-06,0.005138171099997635,kd_tree,-1,100,1.0
