estimator,library,function,n_samples_train,n_samples,n_features,parameters_digest,dataset_digest,mean_duration,std_duration,n_iter,iteration_throughput,latency,early_stopping,learning_rate,max_bins,max_iter,max_leaf_nodes,min_samples_leaf,n_iter_no_change,accuracy_score
HistGradientBoostingClassifier,sklearn,fit,100000,100000,100,8ac17432ce41344558041f9f99d580cd,9ce6e5b630c7e4a67a7380e7deb6ff2e,4.40890738600001,0.0,10,0.018145085164190795,4.40890738600001e-05,False,0.05,64,10,100,2,10,
HistGradientBoostingClassifier,sklearn,predict,100000,1000,100,8ac17432ce41344558041f9f99d580cd,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.004300254000099812,0.0,10,0.18603552254853584,4.300254000099813e-06,False,0.05,64,10,100,2,10,0.775
HistGradientBoostingClassifier,sklearn,fit,100000,100000,100,7ffcea6243d635c596c7379f67135cd7,9ce6e5b630c7e4a67a7380e7deb6ff2e,48.225479877,0.0,300,0.001658874109786808,0.00048225479876999995,False,0.01,64,300,30,200,10,
HistGradientBoostingClassifier,sklearn,predict,100000,1000,100,7ffcea6243d635c596c7379f67135cd7,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.0851233560001674,0.0,300,0.009398125703578071,8.51233560001674e-05,False,0.01,64,300,30,200,10,0.77
HistGradientBoostingClassifier,sklearn,fit,100000,100000,100,1084a98c82c15e25c60b34fdd49148c9,9ce6e5b630c7e4a67a7380e7deb6ff2e,4.625863472999754,0.0,30,0.017294068548919374,4.625863472999754e-05,False,0.5,255,30,10,200,10,
HistGradientBoostingClassifier,sklearn,predict,100000,1000,100,1084a98c82c15e25c60b34fdd49148c9,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.00746489199991629,0.0,30,0.10716832875934054,7.4648919999162895e-06,False,0.5,255,30,10,200,10,0.744
HistGradientBoostingClassifier,sklearn,fit,100000,100000,100,f17506c7a56db0766f1358ddef0a5f1b,9ce6e5b630c7e4a67a7380e7deb6ff2e,3.9001373969999804,0.0,30,0.020512097871612598,3.9001373969999805e-05,False,0.01,128,30,3,100,10,
HistGradientBoostingClassifier,sklearn,predict,100000,1000,100,f17506c7a56db0766f1358ddef0a5f1b,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.005863473000317754,0.0,30,0.1364379097433631,5.8634730003177536e-06,False,0.01,128,30,3,100,10,0.573
HistGradientBoostingClassifier,sklearn,fit,100000,100000,100,1093ca18aaf7c08c5f1501a9c93ac93c,9ce6e5b630c7e4a67a7380e7deb6ff2e,7.801163579999866,0.0,100,0.010254880464896157,7.801163579999866e-05,False,0.1,128,100,3,20,10,
HistGradientBoostingClassifier,sklearn,predict,100000,1000,100,1093ca18aaf7c08c5f1501a9c93ac93c,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.015870596999775444,0.0,100,0.050407681576900946,1.5870596999775443e-05,False,0.1,128,100,3,20,10,0.673
HistGradientBoostingClassifier,sklearn,fit,100000,100000,100,00b59af08b90cb82ead8976d3222184d,9ce6e5b630c7e4a67a7380e7deb6ff2e,33.79972286600014,0.0,300,0.0023668833119479126,0.0003379972286600014,False,0.1,32,300,30,10,10,
HistGradientBoostingClassifier,sklearn,predict,100000,1000,100,00b59af08b90cb82ead8976d3222184d,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.05634439899995414,0.0,300,0.014198394413624879,5.634439899995414e-05,False,0.1,32,300,30,10,10,0.795
HistGradientBoostingClassifier,sklearn,fit,100000,100000,100,18b43b71e8e6578689b1143e24a89c24,9ce6e5b630c7e4a67a7380e7deb6ff2e,5.159505434000039,0.0,30,0.015505362097850908,5.159505434000039e-05,False,0.01,128,30,10,10,10,
HistGradientBoostingClassifier,sklearn,predict,100000,1000,100,18b43b71e8e6578689b1143e24a89c24,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.007907997000074829,0.0,30,0.10116341723352071,7.907997000074828e-06,False,0.01,128,30,10,10,10,0.649
HistGradientBoostingClassifier,sklearn,fit,100000,100000,100,ef2f12d0c8952977ea0d887681fb2a1a,9ce6e5b630c7e4a67a7380e7deb6ff2e,2.474632688999918,0.0,10,0.032328030077195286,2.4746326889999183e-05,False,0.05,128,10,3,20,10,
HistGradientBoostingClassifier,sklearn,predict,100000,1000,100,ef2f12d0c8952977ea0d887681fb2a1a,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.0026918339999610907,0.0,10,0.2971951465103582,2.6918339999610906e-06,False,0.05,128,10,3,20,10,0.571
HistGradientBoostingClassifier,sklearn,fit,100000,100000,100,da4af9632d9be097615e658f56f60787,9ce6e5b630c7e4a67a7380e7deb6ff2e,3.718223375999969,0.0,30,0.021515651941832303,3.718223375999969e-05,False,0.05,64,30,3,20,10,
