estimator,library,function,n_samples_train,n_samples,n_features,parameters_digest,dataset_digest,mean_duration,std_duration,n_iter,iteration_throughput,latency,algorithm,n_jobs,n_neighbors,accuracy_score
KNeighborsClassifier_brute_force,sklearn,fit,100000,100000,100,e70d8e7886766d41f30889506baa1e67,da85712d6d04fd9c5c4ddb12db3be446,0.01111359780000214,0.00015945701246812143,,7.198388986146736,1.111359780000214e-07,brute,-1,1,
KNeighborsClassifier_brute_force,sklearn,predict,100000,1000,100,e70d8e7886766d41f30889506baa1e67,da85712d6d04fd9c5c4ddb12db3be446,1.9592086584999948,0.05478477633038853,,0.0004083281260161918,0.001959208658499995,brute,-1,1,0.676
KNeighborsClassifier_brute_force,sklearn,predict,100000,1,100,e70d8e7886766d41f30889506baa1e67,da85712d6d04fd9c5c4ddb12db3be446,0.022704353799997534,0.00351308243162298,,3.523553266687057e-05,0.022704353799997534,brute,-1,1,0.0
KNeighborsClassifier_brute_force,sklearn,fit,100000,100000,100,22d5eac4a4146149b35eae6914921514,da85712d6d04fd9c5c4ddb12db3be446,0.011255591399998367,0.00019022859469010228,,7.107578549805176,1.1255591399998367e-07,brute,-1,5,
KNeighborsClassifier_brute_force,sklearn,predict,100000,1000,100,22d5eac4a4146149b35eae6914921514,da85712d6d04fd9c5c4ddb12db3be446,3.1113028599000074,0.08768915282892166,,0.0002571270094952154,0.0031113028599000074,brute,-1,5,0.743
KNeighborsClassifier_brute_force,sklearn,predict,100000,1,100,22d5eac4a4146149b35eae6914921514,da85712d6d04fd9c5c4ddb12db3be446,0.026341021499996488,0.0028626087500823595,,3.0370879884066254e-05,0.026341021499996488,brute,-1,5,1.0
KNeighborsClassifier_brute_force,sklearn,fit,100000,100000,100,16f94fc93942ff7ece860c9b0f64645f,da85712d6d04fd9c5c4ddb12db3be446,0.012301685500011672,0.0013717186845983475,,6.503173894335381,1.2301685500011673e-07,brute,1,100,
KNeighborsClassifier_brute_force,sklearn,predict,100000,1000,100,16f94fc93942ff7ece860c9b0f64645f,da85712d6d04fd9c5c4ddb12db3be446,2.0998426341000083,0.004430707122269196,,0.00038098093019379027,0.0020998426341000084,brute,1,100,0.846
KNeighborsClassifier_brute_force,sklearn,predict,100000,1,100,16f94fc93942ff7ece860c9b0f64645f,da85712d6d04fd9c5c4ddb12db3be446,0.022518142800004172,0.004775354737965392,,3.552690855126169e-05,0.022518142800004172,brute,1,100,1.0
KNeighborsClassifier_brute_force,sklearn,fit,100000,100000,100,2d5f2b2c02d77766434d9e5033b4a76c,da85712d6d04fd9c5c4ddb12db3be446,0.011121324599992021,0.00019755991792880503,,7.19338773728962,1.1121324599992022e-07,brute,-1,100,
