estimator,library,function,n_samples_train,n_samples,n_features,parameters_digest,dataset_digest,mean_duration,std_duration,n_iter,iteration_throughput,latency,algorithm,n_jobs,n_neighbors,accuracy_score
KNeighborsClassifier_kd_tree,sklearn,fit,1000000,1000000,10,84622ba45e941db642965553529e1941,2ea138335d6fcb1767ca424f57f5ed07,3.196457199999986,0.1376063896394067,,0.025027708802107643,3.196457199999986e-06,kd_tree,1,5,
KNeighborsClassifier_kd_tree,sklearn,predict,1000000,1000,10,84622ba45e941db642965553529e1941,2ea138335d6fcb1767ca424f57f5ed07,1.5971822631000123,0.013956107829251345,,5.0088209622817835e-05,0.0015971822631000124,kd_tree,1,5,0.975
KNeighborsClassifier_kd_tree,sklearn,predict,1000000,1,10,84622ba45e941db642965553529e1941,2ea138335d6fcb1767ca424f57f5ed07,0.0014709894999896278,0.00048321340968423003,,5.438516046549896e-05,0.0014709894999896278,kd_tree,1,5,1.0
KNeighborsClassifier_kd_tree,sklearn,fit,1000000,1000000,10,dc74b969bf622bc24ba3bc62c980983b,2ea138335d6fcb1767ca424f57f5ed07,3.6354111780000142,0.03874076086814606,,0.02200576388281097,3.635411178000014e-06,kd_tree,-1,5,
KNeighborsClassifier_kd_tree,sklearn,predict,1000000,1000,10,dc74b969bf622bc24ba3bc62c980983b,2ea138335d6fcb1767ca424f57f5ed07,0.9242702795000242,0.008847914862695639,,8.655476842041841e-05,0.0009242702795000242,kd_tree,-1,5,0.975
KNeighborsClassifier_kd_tree,sklearn,predict,1000000,1,10,dc74b969bf622bc24ba3bc62c980983b,2ea138335d6fcb1767ca424f57f5ed07,0.0029465580999612937,0.0006154679400465207,,2.7150321590825204e-05,0.0029465580999612937,kd_tree,-1,5,1.0
KNeighborsClassifier_kd_tree,sklearn,fit,1000000,1000000,10,fe8267e25dadb302ed498e50fabf7ef4,2ea138335d6fcb1767ca424f57f5ed07,3.5693333078889333,0.01930311497661788,,0.022413149207215856,3.569333307888933e-06,kd_tree,-1,1,
KNeighborsClassifier_kd_tree,sklearn,predict,1000000,1000,10,fe8267e25dadb302ed498e50fabf7ef4,2ea138335d6fcb1767ca424f57f5ed07,0.49905248959994425,0.0077284443035131115,,0.000160303778995533,0.0004990524895999443,kd_tree,-1,1,0.964
KNeighborsClassifier_kd_tree,sklearn,predict,1000000,1,10,fe8267e25dadb302ed498e50fabf7ef4,2ea138335d6fcb1767ca424f57f5ed07,0.002746945000035339,0.0005413608836362707,,2.912326238747802e-05,0.002746945000035339,kd_tree,-1,1,1.0
KNeighborsClassifier_kd_tree,sklearn,fit,1000000,1000000,10,a9455565db1d8e052a783317c99744ff,2ea138335d6fcb1767ca424f57f5ed07,3.6815957468888376,0.03378790392264751,,0.02172970784953906,3.6815957468888375e-06,kd_tree,1,1,
