estimator,library,function,n_samples_train,n_samples,n_features,parameters_digest,dataset_digest,mean_duration,std_duration,n_iter,iteration_throughput,latency,algorithm,init,max_iter,n_clusters,n_init,tol,adjusted_rand_score
KMeans_tall,sklearnex,fit,1000000,1000000,2,9a474b3f82d9a6d1e1d7aa2ee4c803a0,7900669af9550010c0c24c53789ee2b0,0.40703638990003127,0.028754016200979875,30,0.0393085247339424,4.0703638990003127e-07,full,k-means++,30,3,1,1e-16,
KMeans_tall,sklearnex,predict,1000000,1000,2,9a474b3f82d9a6d1e1d7aa2ee4c803a0,7900669af9550010c0c24c53789ee2b0,0.00014432109992412734,0.00010474507142179,30,0.11086390007013208,1.4432109992412735e-07,full,k-means++,30,3,1,1e-16,0.001363287615558994
KMeans_tall,sklearnex,predict,1000000,1,2,9a474b3f82d9a6d1e1d7aa2ee4c803a0,7900669af9550010c0c24c53789ee2b0,0.00012114089995520771,9.584116534458815e-05,30,0.00013207760554788728,0.00012114089995520771,full,k-means++,30,3,1,1e-16,1.0
KMeans_tall,sklearnex,fit,1000000,1000000,2,ec2f2d2e5e2eb5881e2e08915f1f289b,7900669af9550010c0c24c53789ee2b0,0.3673637288000009,0.019489525527633597,30,0.04355356488857579,3.673637288000009e-07,full,random,30,3,1,1e-16,
KMeans_tall,sklearnex,predict,1000000,1000,2,ec2f2d2e5e2eb5881e2e08915f1f289b,7900669af9550010c0c24c53789ee2b0,0.00014668109993181132,0.00010013397632362244,30,0.10908017466079839,1.4668109993181131e-07,full,random,30,3,1,1e-16,0.0016340087998315167
KMeans_tall,sklearnex,predict,1000000,1,2,ec2f2d2e5e2eb5881e2e08915f1f289b,7900669af9550010c0c24c53789ee2b0,0.0001265410000087286,9.359294210268821e-05,30,0.00012644123247719196,0.0001265410000087286,full,random,30,3,1,1e-16,1.0
KMeans_tall,sklearnex,fit,1000000,1000000,100,9a474b3f82d9a6d1e1d7aa2ee4c803a0,7e8e62ff8835de831c516b191d2a71fb,2.7752476893999303,0.011352130427205455,30,0.28826255870984174,2.7752476893999302e-06,full,k-means++,30,3,1,1e-16,
KMeans_tall,sklearnex,predict,1000000,1000,100,9a474b3f82d9a6d1e1d7aa2ee4c803a0,7e8e62ff8835de831c516b191d2a71fb,0.0002697719999105175,0.00013155804508907022,30,2.96546713619411,2.697719999105175e-07,full,k-means++,30,3,1,1e-16,0.002199390856259329
KMeans_tall,sklearnex,predict,1000000,1,100,9a474b3f82d9a6d1e1d7aa2ee4c803a0,7e8e62ff8835de831c516b191d2a71fb,0.00012718100001620768,9.862113411144655e-05,30,0.006290247756331918,0.00012718100001620768,full,k-means++,30,3,1,1e-16,1.0
KMeans_tall,sklearnex,fit,1000000,1000000,100,ec2f2d2e5e2eb5881e2e08915f1f289b,7e8e62ff8835de831c516b191d2a71fb,2.717686170199977,0.059312393537266264,30,0.29436805793552434,2.7176861701999767e-06,full,random,30,3,1,1e-16,
KMeans_tall,sklearnex,predict,1000000,1000,100,ec2f2d2e5e2eb5881e2e08915f1f289b,7e8e62ff8835de831c516b191d2a71fb,0.0002698820999739837,0.00013262899000343335,30,2.9642573556272125,2.6988209997398373e-07,full,random,30,3,1,1e-16,0.001976327533742008
KMeans_tall,sklearnex,predict,1000000,1,100,ec2f2d2e5e2eb5881e2e08915f1f289b,7e8e62ff8835de831c516b191d2a71fb,0.00012676100004682667,9.834446843626659e-05,30,0.006311089370583008,0.00012676100004682667,full,random,30,3,1,1e-16,1.0
