estimator,library,function,n_samples_train,n_samples,n_features,parameters_digest,dataset_digest,mean_duration,std_duration,n_iter,iteration_throughput,latency,algorithm,n_jobs,n_neighbors,accuracy_score
KNeighborsClassifier_brute_force,sklearnex,fit,100000,100000,100,b79d63bb7670c492de5c3befac58fe29,da85712d6d04fd9c5c4ddb12db3be446,0.048514678700053084,0.00026230114315272773,,1.6489854646798365,4.851467870005308e-07,brute,1,1,
KNeighborsClassifier_brute_force,sklearnex,predict,100000,1000,100,b79d63bb7670c492de5c3befac58fe29,da85712d6d04fd9c5c4ddb12db3be446,0.17716118600005756,0.00033224967854257923,,0.004515661799643519,0.00017716118600005757,brute,1,1,0.676
KNeighborsClassifier_brute_force,sklearnex,predict,100000,1,100,b79d63bb7670c492de5c3befac58fe29,da85712d6d04fd9c5c4ddb12db3be446,0.0091788933999851,0.00014870996094797664,,8.715647574698913e-05,0.0091788933999851,brute,1,1,0.0
KNeighborsClassifier_brute_force,sklearnex,fit,100000,100000,100,e70d8e7886766d41f30889506baa1e67,da85712d6d04fd9c5c4ddb12db3be446,0.04894628369995644,0.00012863643832309552,,1.6344448230309914,4.894628369995644e-07,brute,-1,1,
KNeighborsClassifier_brute_force,sklearnex,predict,100000,1000,100,e70d8e7886766d41f30889506baa1e67,da85712d6d04fd9c5c4ddb12db3be446,0.18090374930000053,0.005028010748375405,,0.004422241125988634,0.00018090374930000052,brute,-1,1,0.676
KNeighborsClassifier_brute_force,sklearnex,predict,100000,1,100,e70d8e7886766d41f30889506baa1e67,da85712d6d04fd9c5c4ddb12db3be446,0.008621516299990617,0.0002616782038454951,,9.279110218707941e-05,0.008621516299990617,brute,-1,1,0.0
KNeighborsClassifier_brute_force,sklearnex,fit,100000,100000,100,22d5eac4a4146149b35eae6914921514,da85712d6d04fd9c5c4ddb12db3be446,0.045849354999973,0.0005281379535432936,,1.7448446112283829,4.5849354999973005e-07,brute,-1,5,
KNeighborsClassifier_brute_force,sklearnex,predict,100000,1000,100,22d5eac4a4146149b35eae6914921514,da85712d6d04fd9c5c4ddb12db3be446,0.17710340240000733,0.00030863560000899933,,0.004517135126478896,0.00017710340240000732,brute,-1,5,0.743
KNeighborsClassifier_brute_force,sklearnex,predict,100000,1,100,22d5eac4a4146149b35eae6914921514,da85712d6d04fd9c5c4ddb12db3be446,0.00868282700000691,0.0002045191455548758,,9.213589076453594e-05,0.00868282700000691,brute,-1,5,1.0
KNeighborsClassifier_brute_force,sklearnex,fit,100000,100000,100,2d5f2b2c02d77766434d9e5033b4a76c,da85712d6d04fd9c5c4ddb12db3be446,0.047050419900006094,0.00015145064264335573,,1.700303635334605,4.7050419900006096e-07,brute,-1,100,
