estimator,library,function,n_samples_train,n_samples,n_features,parameters_digest,dataset_digest,mean_duration,std_duration,n_iter,iteration_throughput,latency,algorithm,n_jobs,n_neighbors,accuracy_score
KNeighborsClassifier_kd_tree,sklearnex,fit,1000000,1000000,10,fe8267e25dadb302ed498e50fabf7ef4,2ea138335d6fcb1767ca424f57f5ed07,0.7574281530000008,0.003633425160455502,,0.10562057890657772,7.574281530000007e-07,kd_tree,-1,1,
KNeighborsClassifier_kd_tree,sklearnex,predict,1000000,1000,10,fe8267e25dadb302ed498e50fabf7ef4,2ea138335d6fcb1767ca424f57f5ed07,0.11652669540003444,0.0014563743503474228,,0.0006865379621842117,0.00011652669540003443,kd_tree,-1,1,0.964
KNeighborsClassifier_kd_tree,sklearnex,predict,1000000,1,10,fe8267e25dadb302ed498e50fabf7ef4,2ea138335d6fcb1767ca424f57f5ed07,0.00024243189996013824,0.00012415906418414448,,0.00032998957650851214,0.00024243189996013824,kd_tree,-1,1,1.0
KNeighborsClassifier_kd_tree,sklearnex,fit,1000000,1000000,10,41accfcdcd5c50784bedf6164b63de99,2ea138335d6fcb1767ca424f57f5ed07,0.735162712500005,0.005609549273380033,,0.10881944723223358,7.351627125000049e-07,kd_tree,1,100,
KNeighborsClassifier_kd_tree,sklearnex,predict,1000000,1000,10,41accfcdcd5c50784bedf6164b63de99,2ea138335d6fcb1767ca424f57f5ed07,0.5996783571000378,0.013019504045365896,,0.00013340484787023,0.0005996783571000378,kd_tree,1,100,0.973
KNeighborsClassifier_kd_tree,sklearnex,predict,1000000,1,10,41accfcdcd5c50784bedf6164b63de99,2ea138335d6fcb1767ca424f57f5ed07,0.000555984399989029,0.00025532642966485816,,0.00014388892926056666,0.000555984399989029,kd_tree,1,100,1.0
KNeighborsClassifier_kd_tree,sklearnex,fit,1000000,1000000,10,a9455565db1d8e052a783317c99744ff,2ea138335d6fcb1767ca424f57f5ed07,0.7559221742999398,0.008253102952203217,,0.10583100049166844,7.559221742999398e-07,kd_tree,1,1,
KNeighborsClassifier_kd_tree,sklearnex,predict,1000000,1000,10,a9455565db1d8e052a783317c99744ff,2ea138335d6fcb1767ca424f57f5ed07,0.12062173620015529,0.002467749755814097,,0.0006632303805281906,0.00012062173620015529,kd_tree,1,1,0.964
KNeighborsClassifier_kd_tree,sklearnex,predict,1000000,1,10,a9455565db1d8e052a783317c99744ff,2ea138335d6fcb1767ca424f57f5ed07,0.00024345180008822354,0.00012801519701946586,,0.0003286071410070047,0.00024345180008822354,kd_tree,1,1,1.0
KNeighborsClassifier_kd_tree,sklearnex,fit,1000000,1000000,10,dc74b969bf622bc24ba3bc62c980983b,2ea138335d6fcb1767ca424f57f5ed07,0.7154037323999546,0.004495218862194485,,0.11182496872308054,7.154037323999546e-07,kd_tree,-1,5,
KNeighborsClassifier_kd_tree,sklearnex,predict,1000000,1000,10,dc74b969bf622bc24ba3bc62c980983b,2ea138335d6fcb1767ca424f57f5ed07,0.20321350589993017,0.002934752276113761,,0.00039367462140727476,0.00020321350589993018,kd_tree,-1,5,0.975
KNeighborsClassifier_kd_tree,sklearnex,predict,1000000,1,10,dc74b969bf622bc24ba3bc62c980983b,2ea138335d6fcb1767ca424f57f5ed07,0.0002776921000531729,0.00013453763428746728,,0.0002880888580722371,0.0002776921000531729,kd_tree,-1,5,1.0
KNeighborsClassifier_kd_tree,sklearnex,fit,1000000,1000000,10,84622ba45e941db642965553529e1941,2ea138335d6fcb1767ca424f57f5ed07,0.7640005261000624,0.004832653144516245,,0.10471196977883006,7.640005261000625e-07,kd_tree,1,5,
KNeighborsClassifier_kd_tree,sklearnex,predict,1000000,1000,10,84622ba45e941db642965553529e1941,2ea138335d6fcb1767ca424f57f5ed07,0.205844229000013,0.0018024816851667463,,0.0003886433950013481,0.00020584422900001302,kd_tree,1,5,0.975
KNeighborsClassifier_kd_tree,sklearnex,predict,1000000,1,10,84622ba45e941db642965553529e1941,2ea138335d6fcb1767ca424f57f5ed07,0.0002850321999630978,0.00013800833220405562,,0.00028067004363141197,0.0002850321999630978,kd_tree,1,5,1.0
KNeighborsClassifier_kd_tree,sklearnex,fit,1000000,1000000,10,022f7445d43bb1dbc24dc3106c03cb93,2ea138335d6fcb1767ca424f57f5ed07,0.7359897602999809,0.01459853442996365,,0.10869716443798474,7.359897602999809e-07,kd_tree,-1,100,
KNeighborsClassifier_kd_tree,sklearnex,predict,1000000,1000,10,022f7445d43bb1dbc24dc3106c03cb93,2ea138335d6fcb1767ca424f57f5ed07,0.5922403515999122,0.00467467933696688,,0.00013508029262761882,0.0005922403515999122,kd_tree,-1,100,0.973
KNeighborsClassifier_kd_tree,sklearnex,predict,1000000,1,10,022f7445d43bb1dbc24dc3106c03cb93,2ea138335d6fcb1767ca424f57f5ed07,0.0005513443999461742,0.00025121715435240003,,0.00014509986862623457,0.0005513443999461742,kd_tree,-1,100,1.0
KNeighborsClassifier_kd_tree,sklearnex,fit,1000,1000,2,fe8267e25dadb302ed498e50fabf7ef4,e07b6cf59f4e5d866f64bd3a6e7aa097,0.0037854698999126414,0.0014858728571322457,,0.004226687947081349,3.7854698999126413e-06,kd_tree,-1,1,
KNeighborsClassifier_kd_tree,sklearnex,predict,1000,1000,2,fe8267e25dadb302ed498e50fabf7ef4,e07b6cf59f4e5d866f64bd3a6e7aa097,0.0004886038999757147,0.00012401321133676164,,0.032746361625020294,4.886038999757148e-07,kd_tree,-1,1,0.895
KNeighborsClassifier_kd_tree,sklearnex,predict,1000,1,2,fe8267e25dadb302ed498e50fabf7ef4,e07b6cf59f4e5d866f64bd3a6e7aa097,0.00011002080004800519,9.561767516869302e-05,,0.00014542704645865824,0.00011002080004800519,kd_tree,-1,1,1.0
KNeighborsClassifier_kd_tree,sklearnex,fit,1000,1000,2,41accfcdcd5c50784bedf6164b63de99,e07b6cf59f4e5d866f64bd3a6e7aa097,0.0015347720999216107,0.0012444454688152731,,0.010425000559247336,1.5347720999216106e-06,kd_tree,1,100,
KNeighborsClassifier_kd_tree,sklearnex,predict,1000,1000,2,41accfcdcd5c50784bedf6164b63de99,e07b6cf59f4e5d866f64bd3a6e7aa097,0.004567896000025939,0.00021162393272631408,,0.003502706716595374,4.567896000025939e-06,kd_tree,1,100,0.919
KNeighborsClassifier_kd_tree,sklearnex,predict,1000,1,2,41accfcdcd5c50784bedf6164b63de99,e07b6cf59f4e5d866f64bd3a6e7aa097,0.00011849079992316547,9.578348068409951e-05,,0.00013503158059845227,0.00011849079992316547,kd_tree,1,100,1.0
