estimator,library,function,n_samples_train,n_samples,n_features,parameters_digest,dataset_digest,mean_duration,std_duration,n_iter,iteration_throughput,latency,colsample_bynode,learning_rate,max_bin,max_leaves,min_child_weight,n_estimators,subsample,tree_method,use_label_encoder,validate_parameters,accuracy_score
XGBClassifier,xgboost,fit,100000,100000,100,e1f5ff16a2d54e34ca5c644cc467fcb2,9ce6e5b630c7e4a67a7380e7deb6ff2e,3.245613472000514,0.0,,0.024648652924986175,3.245613472000514e-05,1.0,1.0,255,3,20,30,1.0,hist,False,True,
XGBClassifier,xgboost,predict,100000,1000,100,e1f5ff16a2d54e34ca5c644cc467fcb2,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.0025507310001557926,0.0,,0.3136355813102745,2.5507310001557924e-06,1.0,1.0,255,3,20,30,1.0,hist,False,True,0.679
XGBClassifier,xgboost,fit,100000,100000,100,eec6d85e0305488b04e744f3ba68d83b,9ce6e5b630c7e4a67a7380e7deb6ff2e,1.8357465479994062,0.0,,0.04357900064536898,1.835746547999406e-05,0.5,0.05,255,3,2,10,0.8,hist,False,True,
XGBClassifier,xgboost,predict,100000,1000,100,eec6d85e0305488b04e744f3ba68d83b,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.002183028000217746,0.0,,0.3664634626400596,2.183028000217746e-06,0.5,0.05,255,3,2,10,0.8,hist,False,True,0.555
XGBClassifier,xgboost,fit,100000,100000,100,9013ae8c8e79ffc0e48d79d6702ca01b,9ce6e5b630c7e4a67a7380e7deb6ff2e,23.820976992000396,0.0,,0.003358384503996866,0.00023820976992000397,0.5,0.05,128,3,20,300,0.8,hist,False,True,
XGBClassifier,xgboost,predict,100000,1000,100,9013ae8c8e79ffc0e48d79d6702ca01b,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.006958186999327154,0.0,,0.11497247775567958,6.958186999327154e-06,0.5,0.05,128,3,20,300,0.8,hist,False,True,0.642
XGBClassifier,xgboost,fit,100000,100000,100,d97d27cfdda57dbb404fb3dd428b3696,9ce6e5b630c7e4a67a7380e7deb6ff2e,4.565657269999974,0.0,,0.017522121190669326,4.565657269999974e-05,0.8,0.1,64,30,200,30,1.0,hist,False,True,
XGBClassifier,xgboost,predict,100000,1000,100,d97d27cfdda57dbb404fb3dd428b3696,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.003779146999477234,0.0,,0.21168798147059728,3.7791469994772343e-06,0.8,0.1,64,30,200,30,1.0,hist,False,True,0.71
XGBClassifier,xgboost,fit,100000,100000,100,2d865e77841547403eb90067acd2717e,9ce6e5b630c7e4a67a7380e7deb6ff2e,7.310933204999856,0.0,,0.010942515511602404,7.310933204999856e-05,1.0,0.5,128,3,20,100,1.0,hist,False,True,
XGBClassifier,xgboost,predict,100000,1000,100,2d865e77841547403eb90067acd2717e,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.0036391450003065984,0.0,,0.21983185609053774,3.639145000306598e-06,1.0,0.5,128,3,20,100,1.0,hist,False,True,0.715
XGBClassifier,xgboost,fit,100000,100000,100,59c3d48d1f04755d65a6b0d491a5f330,9ce6e5b630c7e4a67a7380e7deb6ff2e,4.7888772589994915,0.0,,0.0167053769961759,4.7888772589994916e-05,1.0,0.01,64,30,200,30,1.0,hist,False,True,
XGBClassifier,xgboost,predict,100000,1000,100,59c3d48d1f04755d65a6b0d491a5f330,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.0035527439995348686,0.0,,0.2251780595800703,3.5527439995348686e-06,1.0,0.01,64,30,200,30,1.0,hist,False,True,0.66
XGBClassifier,xgboost,fit,100000,100000,100,9e7378a307eef7ec20d444eba798e950,9ce6e5b630c7e4a67a7380e7deb6ff2e,2.2800769669993315,0.0,,0.035086534866094046,2.2800769669993316e-05,0.8,0.1,64,100,20,10,0.5,hist,False,True,
XGBClassifier,xgboost,predict,100000,1000,100,9e7378a307eef7ec20d444eba798e950,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.0024725310004214407,0.0,,0.3235550938951385,2.4725310004214407e-06,0.8,0.1,64,100,20,10,0.5,hist,False,True,0.699
XGBClassifier,xgboost,fit,100000,100000,100,34bfa80774a286e23eca9eb136ba7d64,9ce6e5b630c7e4a67a7380e7deb6ff2e,8.852376335000372,0.0,,0.009037121443165198,8.852376335000372e-05,1.0,1.0,32,3,2,100,0.5,hist,False,True,
XGBClassifier,xgboost,predict,100000,1000,100,34bfa80774a286e23eca9eb136ba7d64,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.0038717480001650983,0.0,,0.20662501794173757,3.871748000165099e-06,1.0,1.0,32,3,2,100,0.5,hist,False,True,0.723
XGBClassifier,xgboost,fit,100000,100000,100,3067e8622c1d9876ce18b75d93e7fa8a,9ce6e5b630c7e4a67a7380e7deb6ff2e,27.238504713999646,0.0,,0.002937018784253703,0.0002723850471399965,0.8,0.1,255,3,20,300,0.8,hist,False,True,
XGBClassifier,xgboost,predict,100000,1000,100,3067e8622c1d9876ce18b75d93e7fa8a,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.00698698699943634,0.0,,0.114498567131231,6.98698699943634e-06,0.8,0.1,255,3,20,300,0.8,hist,False,True,0.675
XGBClassifier,xgboost,fit,100000,100000,100,f95cd7c1665f26cd8a01f4803bca8b20,9ce6e5b630c7e4a67a7380e7deb6ff2e,2.2229753569999957,0.0,,0.03598780335017459,2.2229753569999956e-05,0.8,0.1,64,100,200,10,1.0,hist,False,True,
XGBClassifier,xgboost,predict,100000,1000,100,f95cd7c1665f26cd8a01f4803bca8b20,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.002536632000555983,0.0,,0.31537881719723426,2.5366320005559827e-06,0.8,0.1,64,100,200,10,1.0,hist,False,True,0.688
XGBClassifier,xgboost,fit,100000,100000,100,96ad783e49e8e3d217ff2d4d16e5f376,9ce6e5b630c7e4a67a7380e7deb6ff2e,2.9044230770005015,0.0,,0.02754419651651397,2.9044230770005015e-05,1.0,0.1,128,100,10,10,0.5,hist,False,True,
XGBClassifier,xgboost,predict,100000,1000,100,96ad783e49e8e3d217ff2d4d16e5f376,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.0024019299999054056,0.0,,0.3330654931790294,2.4019299999054057e-06,1.0,0.1,128,100,10,10,0.5,hist,False,True,0.709
XGBClassifier,xgboost,fit,100000,100000,100,b9384507c7d5c454a1a306f60e930fab,9ce6e5b630c7e4a67a7380e7deb6ff2e,4.250248594999903,0.0,,0.01882242843256603,4.2502485949999025e-05,1.0,0.1,128,10,20,30,0.8,hist,False,True,
XGBClassifier,xgboost,predict,100000,1000,100,b9384507c7d5c454a1a306f60e930fab,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.002958736999971734,0.0,,0.2703856409027374,2.9587369999717338e-06,1.0,0.1,128,10,20,30,0.8,hist,False,True,0.648
XGBClassifier,xgboost,fit,100000,100000,100,5e6cac31bf6c6de023df543777a0c453,9ce6e5b630c7e4a67a7380e7deb6ff2e,22.26220986699991,0.0,,0.0035935336374034875,0.0002226220986699991,0.5,0.1,32,3,2,300,0.8,hist,False,True,
XGBClassifier,xgboost,predict,100000,1000,100,5e6cac31bf6c6de023df543777a0c453,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.006516082000416645,0.0,,0.12277316337468545,6.5160820004166454e-06,0.5,0.1,32,3,2,300,0.8,hist,False,True,0.663
XGBClassifier,xgboost,fit,100000,100000,100,572ab4bd5c6a5be51417b853ac0d31a2,9ce6e5b630c7e4a67a7380e7deb6ff2e,14.164100298999983,0.0,,0.00564808200388472,0.00014164100298999984,1.0,0.05,32,100,2,100,1.0,hist,False,True,
XGBClassifier,xgboost,predict,100000,1000,100,572ab4bd5c6a5be51417b853ac0d31a2,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.007685196000238648,0.0,,0.10409623905169858,7.685196000238648e-06,1.0,0.05,32,100,2,100,1.0,hist,False,True,0.756
XGBClassifier,xgboost,fit,100000,100000,100,1e15cf9d89e76dab66ea0a243f2c1f43,9ce6e5b630c7e4a67a7380e7deb6ff2e,39.82144455599973,0.0,,0.0020089678034531954,0.00039821444555999735,1.0,0.1,64,100,10,300,1.0,hist,False,True,
XGBClassifier,xgboost,predict,100000,1000,100,1e15cf9d89e76dab66ea0a243f2c1f43,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.0198930480000854,0.0,,0.04021505402272018,1.98930480000854e-05,1.0,0.1,64,100,10,300,1.0,hist,False,True,0.78
XGBClassifier,xgboost,fit,100000,100000,100,e6cd082ab85c1026c1de10f80baa0aae,9ce6e5b630c7e4a67a7380e7deb6ff2e,28.617445152000073,0.0,,0.002795497626538084,0.00028617445152000074,0.8,0.1,64,10,100,300,0.8,hist,False,True,
XGBClassifier,xgboost,predict,100000,1000,100,e6cd082ab85c1026c1de10f80baa0aae,9ce6e5b630c7e4a67a7380e7deb6ff2e,0.013954774000012549,0.0,,0.057328051317726864,1.3954774000012549e-05,0.8,0.1,64,10,100,300,0.8,hist,False,True,0.731
