estimator,benchmarking_method,hour,min,sec
KNeighborsClassifier_brute_force,hp_match,0.0,12.0,59.12247915699993
sklearnex_KNeighborsClassifier_brute_force,hp_match,0.0,0.0,36.33050986600006
KNeighborsClassifier_kd_tree,hp_match,0.0,21.0,31.138047087999894
sklearnex_KNeighborsClassifier_kd_tree,hp_match,0.0,0.0,29.09688736599992
KMeans_tall,hp_match,0.0,0.0,25.35886599300011
sklearnex_KMeans_tall,hp_match,0.0,0.0,9.984425869999995
KMeans_short,hp_match,0.0,0.0,3.5027460329997666
sklearnex_KMeans_short,hp_match,0.0,0.0,1.8600789560000521
LogisticRegression,hp_match,0.0,0.0,28.228247820999968
sklearnex_LogisticRegression,hp_match,0.0,0.0,5.66404499600003
Ridge,hp_match,0.0,0.0,10.867262644999755
sklearnex_Ridge,hp_match,0.0,0.0,2.3975424430000203
HistGradientBoostingClassifier_best,hp_match,0.0,2.0,18.876116358999752
HistGradientBoostingClassifier,hpo,0.0,5.0,3.3277211300001
lightgbm,hpo,0.0,5.0,1.4457530789995872
xgboost,hpo,0.0,5.0,2.5906637999996747
catboost_lossguide,hpo,0.0,5.0,2.932197732000077
catboost_symmetric,hpo,0.0,7.0,6.977141080000365
total,,1.0,6.0,39.83369439900025
